name,place_of_birth,citizenship,national_team,birth_country,is_naturalized
Bart Verbruggen,Zwolle,Netherlands,Netherlands,Netherlands,False
Mark Flekken,Bocholtz,Netherlands,Netherlands,Netherlands,False
Justin Bijlow,Rotterdam,Netherlands,Netherlands,Netherlands,False
Micky van de Ven,Wormer,Netherlands,Netherlands,Luxembourg,True
Jan Paul van Hecke,Arnemuiden,Netherlands,Netherlands,Netherlands,False
Virgil van Dijk,Breda,Netherlands  Suriname,Netherlands,Netherlands,False
Nathan Aké,Den Haag,Netherlands  Cote d'Ivoire,Netherlands,Netherlands,False
Stefan de Vrij,Ouderkerk aan den IJssel,Netherlands,Netherlands,Netherlands,False
Jorrel Hato,Rotterdam,Netherlands  Curacao,Netherlands,Netherlands,False
Jeremie Frimpong,Amsterdam,Netherlands  Ghana,Netherlands,Netherlands,False
Denzel Dumfries,Rotterdam,Netherlands  Aruba,Netherlands,Netherlands,False
Lutsharel Geertruida,Rotterdam,Netherlands  Curacao,Netherlands,Netherlands,False
Ryan Gravenberch,Amsterdam,Netherlands  Suriname,Netherlands,Netherlands,False
Jerdy Schouten,Spijkenisse,Netherlands,Netherlands,Netherlands,False
Teun Koopmeiners,Castricum,Netherlands,Netherlands,Netherlands,False
Tijjani Reijnders,Zwolle,Netherlands,Netherlands,Netherlands,False
Kees Smit,Heiloo,Netherlands,Netherlands,Netherlands,False
Quinten Timber,Utrecht,Netherlands  Curacao,Netherlands,Netherlands,False
Luciano Valente,Groningen,Netherlands  Italy,Netherlands,Netherlands,False
Xavi Simons,Amsterdam,Netherlands  Suriname,Netherlands,Netherlands,False
Cody Gakpo,Eindhoven,Netherlands  Togo,Netherlands,Netherlands,False
Noa Lang,Capelle aan den IJssel,Netherlands  Suriname,Netherlands,Netherlands,False
Donyell Malen,Wieringen,Netherlands  Suriname,Netherlands,Netherlands,False
Brian Brobbey,Amsterdam,Netherlands  Ghana,Netherlands,Netherlands,False
Wout Weghorst,Borne,Netherlands,Netherlands,France,True
Ahmed Basil Fadhil,"---, Baghdad",Iraq,Iraq,Iraq,False
Fahad Talib,"---, Baghdad",Iraq,Iraq,Iraq,False
Kumel Al-Rekabe,Aarau,Iraq  Switzerland,Iraq,Switzerland,True
Zaid Tahseen,Najaf,Iraq,Iraq,Iraq,False
Akam Hashem,Erbil,Iraq,Iraq,Iraq,False
Maytham Jabbar,Baghdad,Iraq,Iraq,Iraq,False
Manaf Younis,Tikrit,Iraq,Iraq,Iraq,False
Frans Dhia Putros,Aarhus,Iraq  Denmark,Iraq,Denmark,True
Rebin Sulaka,"Ankawa, Erbil",Iraq  Sweden,Iraq,Iraq,False
Merchas Doski,Hannover,Iraq  Germany,Iraq,Germany,True
Ahmed Hasan,"---, Baghdad",Iraq,Iraq,Iraq,False
Hussein Ali,Malmö,Iraq  Sweden,Iraq,Sweden,True
Amir Al-Ammari,Jönköping,Iraq  Sweden,Iraq,Sweden,True
Zaid Ismail,,Iraq,Iraq,,True
Aimar Sher,Kirkuk,Iraq  Sweden,Iraq,Iraq,False
Zidane Iqbal,Manchester,Iraq  England,Iraq,United Kingdom,True
Kevin Yakob,Göteborg,Iraq  Sweden,Iraq,Sweden,True
Jussef Nasrawe,München,Iraq  Germany,Iraq,Germany,True
Ibrahim Bayesh,"---, Baghdad",Iraq,Iraq,Iraq,False
Karar Nabeel,,Iraq,Iraq,,True
Marko Farji,Grimstad,Iraq  Norway,Iraq,Norway,True
Youssef Amyn,Essen,Iraq  Germany,Iraq,Germany,True
Ali Jasim,"Rusafa, Baghdad",Iraq,Iraq,Iraq,False
Hasan Abdulkareem,"---, Baghdad",Iraq,Iraq,Iraq,False
Peter Gwargis,Sydney,Iraq  Sweden,Iraq,Australia,True
Ali Al-Hamadi,"---, Maysan",Iraq  England,Iraq,Iraq,False
Mohanad Ali,Baghdad,Iraq,Iraq,Iraq,False
Aymen Hussein,"Al-Safra, Kirkuk",Iraq,Iraq,,True
Ali Yousif,,Iraq,Iraq,,True
Nikola Vasilj,Mostar,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina,Bosnia and Herzegovina,False
Martin Zlomislic,Posušje,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina,Bosnia and Herzegovina,False
Osman Hadzikic,Klosterneuburg,Bosnia-Herzegovina  Austria,Bosnia and Herzegovina,Austria,True
Tarik Muharemović,Ljubljana,Bosnia-Herzegovina  Slovenia,Bosnia and Herzegovina,Slovenia,True
Sead Kolasinac,Karlsruhe,Bosnia-Herzegovina  Germany,Bosnia and Herzegovina,Germany,True
Nidal Celik,Sarajevo,Bosnia-Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,False
Stjepan Radeljic,Nova Bila,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina,Bosnia and Herzegovina,False
Nikola Katic,Ljubuški,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina,Bosnia and Herzegovina,False
Dennis Hadzikadunic,Malmö,Bosnia-Herzegovina  Sweden,Bosnia and Herzegovina,Sweden,True
Nihad Mujakic,Sarajevo,Bosnia-Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,False
Amar Dedić,Zell am See,Bosnia-Herzegovina,Bosnia and Herzegovina,Austria,True
Amir Hadziahmetovic,Nexø,Bosnia-Herzegovina  Denmark,Bosnia and Herzegovina,Denmark,True
Ivan Sunjic,Zenica,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina,Bosnia and Herzegovina,False
Dzenis Burnic,Hamm,Bosnia-Herzegovina  Germany,Bosnia and Herzegovina,Germany,True
Benjamin Tahirović,Spånga,Bosnia-Herzegovina  Sweden,Bosnia and Herzegovina,Sweden,True
Armin Gigovic,Lund,Bosnia-Herzegovina  Sweden,Bosnia and Herzegovina,Sweden,True
Ivan Basic,Imotski,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina,Croatia,True
