name,place_of_birth,citizenship,national_team
Luca Zidane,Marseille,Algeria  France,Algeria
Anthony Mandréa,Grasse,Algeria  France,Algeria
Melvin Mastil,Thonon-les-Bains,Algeria  France,Algeria
Kilian Belazzoug,Paris,Algeria  France,Algeria
Ramy Bensebaini,Constantine,Algeria,Algeria
Sohaib Naïr,Saint-Denis,Algeria  France,Algeria
Zineddine Belaid,Thénia,Algeria,Algeria
Aïssa Mandi,Châlons-en-Champagne,Algeria  France,Algeria
Achref Abada,Touggourt,Algeria,Algeria
Rayan Aït-Nouri,Montreuil,Algeria  France,Algeria
Mehdi Dorval,Paris,Algeria  France,Algeria
Rafik Belghali,Leuven,Algeria  Belgium,Algeria
Ramiz Zerrouki,Amsterdam,Algeria  Netherlands,Algeria
Hicham Boudaoui,Béchar,Algeria,Algeria
Yassine Titraoui,M'Sila,Algeria,Algeria
Ibrahim Maza,Berlin,Algeria  Germany,Algeria
Farès Chaïbi,Lyon,Algeria  France,Algeria
Houssem Aouar,Lyon,Algeria  France,Algeria
Adil Aouchiche,Le Blanc-Mesnil,Algeria  France,Algeria
Adil Boulbina,El Milia,Algeria,Algeria
Riyad Mahrez,Clichy,Algeria  France,Algeria
Farès Ghedjemis,Montreuil,Algeria  France,Algeria
Amine Gouiri,Bourgoin-Jallieu,Algeria  France,Algeria
Mohamed Amoura,Tahir,Algeria,Algeria
Amin Chiakha,København,Algeria  Denmark,Algeria
Nadhir Benbouali,Chlef,Algeria,Algeria
