name,place_of_birth,citizenship,national_team
Emiliano Martínez,Mar del Plata,Argentina  Spain,Argentina
Gerónimo Rulli,La Plata,Argentina  Italy,Argentina
Juan Musso,San Nicolás de los Arroyos,Argentina  Italy,Argentina
Cristian Romero,Córdoba,Argentina,Argentina
Marcos Senesi,Concordia,Argentina  Italy,Argentina
Tomás Palacios,General Pico,Argentina,Argentina
Lucas Martínez Quarta,Mar del Plata,Argentina  Italy,Argentina
Nicolás Otamendi,El Talar,Argentina,Argentina
Nicolás Tagliafico,Rafael Calzada,Argentina  Italy,Argentina
Gabriel Rojas,Rafael Calzada,Argentina,Argentina
Marcos Acuña,Zapala,Argentina,Argentina
Nahuel Molina,Embalse,Argentina,Argentina
Agustín Giay,San Carlos Centro,Argentina,Argentina
Máximo Perrone,Haedo,Argentina  Spain,Argentina
Leandro Paredes,San Justo,Argentina,Argentina
Enzo Fernández,San Martín,Argentina,Argentina
Alexis Mac Allister,Santa Rosa,Argentina  Italy,Argentina
Valentín Barco,25 de Mayo,Argentina,Argentina
Exequiel Palacios,Famaillá,Argentina,Argentina
Rodrigo De Paul,Sarandí,Argentina  Italy,Argentina
Nico Paz,Santa Cruz de Tenerife,Argentina  Spain,Argentina
Nico González,Belén de Escobar,Argentina  Italy,Argentina
Thiago Almada,Ciudadela,Argentina  Italy,Argentina
Franco Mastantuono,Azul,Argentina  Italy,Argentina
Giuliano Simeone,Roma,Argentina  Italy,Argentina
Lionel Messi,Rosario,Argentina  Spain,Argentina
Gianluca Prestianni,Ciudadela,Argentina  Italy,Argentina
Julián Alvarez,Calchín,Argentina  Italy,Argentina
José Manuel López,San Lorenzo,Argentina,Argentina
