name,place_of_birth,citizenship,national_team
Mathew Ryan,Plumpton,Australia  Scotland,Australia
Patrick Beach,Sydney,Australia,Australia
Paul Izzo,Adelaide,Australia  Italy,Australia
Alessandro Circati,Fidenza,Australia  Italy,Australia
Cameron Burgess,Aberdeen,Australia  Scotland,Australia
Lucas Herrington,Brisbane,Australia,Australia
Kye Rowles,Kiama,Australia,Australia
Milos Degenek,Knin,Australia  Serbia,Australia
Jordan Bos,Melbourne,Australia  Netherlands,Australia
Aziz Behich,Melbourne,Australia  Türkiye,Australia
Jacob Italiano,Perth,Australia,Australia
Jason Geria,Canberra,Australia  Uganda,Australia
Aiden O'Neill,Brisbane,Australia  Northern Ireland,Australia
Kai Trewin,Batemans Bay,Australia,Australia
Paul Okon-Engstler,Gent,Australia  Italy,Australia
Patrick Yazbek,Liverpool,Australia,Australia
Riley McGree,Gawler,Australia,Australia
Connor Metcalfe,,,Australia
Alex Robertson,Dundee,Australia  Peru,Australia
Ajdin Hrustic,Melbourne,Australia  Bosnia-Herzegovina,Australia
Nishan Velupillay,Melbourne,Australia  Sri Lanka,Australia
Awer Mabil,Kakuma,Australia  Southern Sudan,Australia
Nestory Irankunda,Kigoma,Australia  Tanzania,Australia
Ante Suto,Imotski,Australia  Croatia,Australia
Deni Jurić,Kogarah,Australia  Croatia,Australia
Martin Boyle,Aberdeen,Australia  Scotland,Australia
