name,place_of_birth,citizenship,national_team
Alexander Schlager,Salzburg,Austria,Austria
Florian Wiegele,Graz,Austria,Austria
Patrick Pentz,Salzburg,Austria,Austria
Kevin Danso,Voitsberg,Austria,Austria
Philipp Lienhart,Lilienfeld,Austria,Austria
Marco Friedl,Kirchbichl,Austria,Austria
David Affengruber,Scheibbs,Austria,Austria
Stefan Posch,Judenburg,Austria,Austria
David Alaba,Wien,Austria,Austria
Michael Svoboda,Wien,Austria,Austria
Phillipp Mwene,Wien,Austria  Kenya,Austria
Konrad Laimer,Salzburg,Austria,Austria
Nicolas Seiwald,Kuchl,Austria,Austria
Florian Grillitsch,Neunkirchen,Austria,Austria
Carney Chukwuemeka,Wien,Austria  England,Austria
Xaver Schlager,Linz,Austria,Austria
Marcel Sabitzer,Wels,Austria,Austria
Alessandro Schöpf,Umhausen,Austria,Austria
Alexander Prass,Hellmonsödt,Austria,Austria
Christoph Baumgartner,Horn,Austria,Austria
Paul Wanner,Dornbirn,Austria  Germany,Austria
Romano Schmid,Graz,Austria,Austria
Patrick Wimmer,Tulln,Austria,Austria
Marko Arnautovic,Wien,Austria  Serbia,Austria
Sasa Kalajdzic,Wien,Austria,Austria
Michael Gregoritsch,Graz,Austria,Austria
