name,place_of_birth,citizenship,national_team
Senne Lammens,Zottegem,Belgium,Belgium
Mike Penders,Maasmechelen,Belgium,Belgium
Thibaut Courtois,Bree,Belgium,Belgium
Zeno Debast,Halle,Belgium,Belgium
Koni De Winter,Antwerpen,Belgium  DR Congo,Belgium
Arthur Theate,Liège,Belgium,Belgium
Nathan Ngoy,Brussel,Belgium  DR Congo,Belgium
Brandon Mechele,Bredene,Belgium,Belgium
Maxim De Cuyper,Knokke-Heist,Belgium,Belgium
Joaquin Seys,Oostende,Belgium,Belgium
Timothy Castagne,Arlon,Belgium,Belgium
Thomas Meunier,Bastogne,Belgium,Belgium
Amadou Onana,Dakar,Belgium  Senegal,Belgium
Nicolas Raskin,Liège,Belgium,Belgium
Axel Witsel,Liège,Belgium  Martinique,Belgium
Youri Tielemans,Sint-Pieters-Leeuw,Belgium  DR Congo,Belgium
Alexis Saelemaekers,Berchem-Sainte-Agathe,Belgium,Belgium
Diego Moreira,Liège,Belgium  Portugal,Belgium
Charles De Ketelaere,Brugge,Belgium,Belgium
Kevin De Bruyne,Drongen,Belgium  Burundi,Belgium
Hans Vanaken,Neerpelt,Belgium,Belgium
Jérémy Doku,Borgerhout,Belgium  Ghana,Belgium
Leandro Trossard,Waterschei,Belgium,Belgium
Dodi Lukébakio,Brussels,Belgium  DR Congo,Belgium
Matias Fernandez-Pardo,Brussel,Belgium  Spain,Belgium
Romelu Lukaku,Antwerpen,Belgium  DR Congo,Belgium
