name,place_of_birth,citizenship,national_team
Nikola Vasilj,Mostar,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina
Martin Zlomislic,Posušje,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina
Osman Hadzikic,Klosterneuburg,Bosnia-Herzegovina  Austria,Bosnia and Herzegovina
Tarik Muharemović,Ljubljana,Bosnia-Herzegovina  Slovenia,Bosnia and Herzegovina
Sead Kolasinac,Karlsruhe,Bosnia-Herzegovina  Germany,Bosnia and Herzegovina
Nidal Celik,Sarajevo,Bosnia-Herzegovina,Bosnia and Herzegovina
Stjepan Radeljic,Nova Bila,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina
Nikola Katic,Ljubuški,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina
Dennis Hadzikadunic,Malmö,Bosnia-Herzegovina  Sweden,Bosnia and Herzegovina
Nihad Mujakic,Sarajevo,Bosnia-Herzegovina,Bosnia and Herzegovina
Amar Dedić,Zell am See,Bosnia-Herzegovina,Bosnia and Herzegovina
Amir Hadziahmetovic,Nexø,Bosnia-Herzegovina  Denmark,Bosnia and Herzegovina
Ivan Sunjic,Zenica,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina
Dzenis Burnic,Hamm,Bosnia-Herzegovina  Germany,Bosnia and Herzegovina
Benjamin Tahirović,Spånga,Bosnia-Herzegovina  Sweden,Bosnia and Herzegovina
Armin Gigovic,Lund,Bosnia-Herzegovina  Sweden,Bosnia and Herzegovina
Ivan Basic,Imotski,Bosnia-Herzegovina  Croatia,Bosnia and Herzegovina
Amar Memić,Sarajevo,Bosnia-Herzegovina,Bosnia and Herzegovina
Ermin Mahmic,Wels,Bosnia-Herzegovina  Austria,Bosnia and Herzegovina
Kerim Alajbegovic,Köln,Bosnia-Herzegovina  Germany,Bosnia and Herzegovina
Esmir Bajraktarevic,"Appleton, Wisconsin",Bosnia-Herzegovina  United States,Bosnia and Herzegovina
Ermedin Demirovic,Hamburg,Bosnia-Herzegovina,Bosnia and Herzegovina
Haris Tabakovic,Grenchen,Bosnia-Herzegovina  Switzerland,Bosnia and Herzegovina
Jovo Lukić,Šabac,Bosnia-Herzegovina  Serbia,Bosnia and Herzegovina
Samed Bazdar,Novi Pazar,Bosnia-Herzegovina  Serbia,Bosnia and Herzegovina
Edin Dzeko,Sarajevo,Bosnia-Herzegovina,Bosnia and Herzegovina
