name,place_of_birth,citizenship,national_team
Alisson,Novo Hamburgo,Brazil,Brazil
Ederson,Osasco,Brazil  Portugal,Brazil
Weverton,Rio Branco,Brazil,Brazil
Gabriel,São Paulo,Brazil,Brazil
Bremer,Itapitanga,Brazil,Brazil
Marquinhos,São Paulo,Brazil  Portugal,Brazil
Roger Ibañez,Canela,Brazil  Italy,Brazil
Léo Pereira,Curitiba,Brazil,Brazil
Danilo,Bicas,Brazil,Brazil
Douglas Santos,João Pessoa,Brazil  Russia,Brazil
Alex Sandro,Catanduva,Brazil,Brazil
Wesley,Açailândia,Brazil,Brazil
Fabinho,Campinas,Brazil,Brazil
Casemiro,São José dos Campos,Brazil  Spain,Brazil
Bruno Guimarães,Rio de Janeiro,Brazil  Spain,Brazil
Danilo,Salvador,Brazil,Brazil
Lucas Paquetá,Rio de Janeiro,Brazil  Portugal,Brazil
Neymar,Mogi das Cruzes,Brazil  Italy,Brazil
Vinicius Junior,São Gonçalo,Brazil  Spain,Brazil
Raphinha,Porto Alegre,Brazil  Italy,Brazil
Gabriel Martinelli,Guarulhos,Brazil  Italy,Brazil
Rayan,Rio de Janeiro,Brazil,Brazil
Luiz Henrique,Petrópolis,Brazil,Brazil
Matheus Cunha,João Pessoa,Brazil,Brazil
Igor Thiago,Gama,Brazil  Bulgaria,Brazil
Endrick,Taguatinga,Brazil,Brazil
