name,place_of_birth,citizenship,national_team
Dayne St. Clair,"Pickering, Ontario",Canada  Trinidad and Tobago,Canada
Maxime Crépeau,"Greenfield Park, Québec",Canada,Canada
Owen Goodman,London,Canada  England,Canada
Derek Cornelius,"Ajax, Ontario",Canada  Jamaica,Canada
Joel Waterman,"Langley, British Columbia",Canada,Canada
Kamal Miller,"Scarborough, Ontario",Canada  Jamaica,Canada
Luc De Fougerolles,London,Canada  England,Canada
Jahkeele Marshall-Rutty,"Brampton, Ontario",Canada  Jamaica,Canada
Richie Laryea,"Toronto, Ontario",Canada  Ghana,Canada
Niko Sigur,"Burnaby, British Columbia",Canada  Croatia,Canada
Ralph Priso,"Toronto, Ontario",Canada  Cameroon,Canada
Ismaël Koné,Abidjan,Canada  Cote d'Ivoire,Canada
Nathan-Dylan Saliba,"Longueuil, Québec",Canada  Haiti,Canada
Jonathan Osorio,"Toronto, Ontario",Canada  Colombia,Canada
Mathieu Choinière,"Saint-Alexandre, Québec",Canada,Canada
Ali Ahmed,"Toronto, Ontario",Canada  Ethiopia,Canada
Marcelo Flores,"Georgetown, Ontario",Canada  Mexico,Canada
Liam Millar,"Toronto, Ontario",Canada  England,Canada
Junior Hoilett,"Brampton, Ontario",Canada  Jamaica,Canada
Tajon Buchanan,"Brampton, Ontario",Canada  Jamaica,Canada
Jonathan David,"Brooklyn, New York",Canada  United States,Canada
Tani Oluwaseyi,Abuja,Canada  Nigeria,Canada
Daniel Jebbison,"Oakville, Ontario",Canada  England,Canada
Cyle Larin,"Brampton, Ontario",Canada  Jamaica,Canada
Jacen Russell-Rowe,"Toronto, Ontario",Canada  Jamaica,Canada
Aribim Pepple,Kettering,Canada  England,Canada
