name,place_of_birth,citizenship,national_team
CJ dos Santos,"Philadelphia, Pennsylvania",Cape Verde  United States,Cape Verde
Márcio Rosa,Praia,Cape Verde  Portugal,Cape Verde
Vozinha,Mindelo,Cape Verde,Cape Verde
Logan Costa,Saint-Denis,Cape Verde  France,Cape Verde
Diney Borges,Tarrafal,Cape Verde  Portugal,Cape Verde
Kelvin Pires,Mindelo,Cape Verde,Cape Verde
Roberto Lopes,"Crumlin, Dublin",Cape Verde  Ireland,Cape Verde
Stopira,Nossa Senhora da Graça,Cape Verde  Hungary,Cape Verde
Wagner Pina,Lisboa,Cape Verde  Portugal,Cape Verde
Sidny Lopes Cabral,Rotterdam,Cape Verde  Netherlands,Cape Verde
Steven Moreira,Noisy-le-Grand,Cape Verde  France,Cape Verde
Kevin Lenini,Praia,Cape Verde  Portugal,Cape Verde
Laros Duarte,Rotterdam,Cape Verde  Netherlands,Cape Verde
João Paulo,Ribeira Grande,Cape Verde,Cape Verde
Deroy Duarte,Rotterdam,Cape Verde  Netherlands,Cape Verde
Jamiro Monteiro,Rotterdam,Cape Verde  Netherlands,Cape Verde
Yannick Semedo,Praia,Cape Verde  Portugal,Cape Verde
Hélio Varela,Almada,Cape Verde  Portugal,Cape Verde
Willy Semedo,Bordeaux,Cape Verde  France,Cape Verde
Jovane Cabral,Assomada,Cape Verde  Portugal,Cape Verde
Ryan Mendes,Fogo,Cape Verde  France,Cape Verde
Telmo Arcanjo,Lisboa,Cape Verde  Portugal,Cape Verde
Garry Rodrigues,Rotterdam,Cape Verde  Netherlands,Cape Verde
Benchimol,Praia,Cape Verde  Portugal,Cape Verde
Dailon Livramento,Rotterdam,Cape Verde  Netherlands,Cape Verde
Nuno Da Costa,Praïa,Cape Verde  France,Cape Verde
