name,place_of_birth,citizenship,national_team
Álvaro Montero,El Molino,Colombia,Colombia
Camilo Vargas,Bogotá,Colombia,Colombia
David Ospina,Medellín,Colombia  France,Colombia
Jhon Lucumí,Santiago de Cali,Colombia,Colombia
Davinson Sánchez,Caloto,Colombia,Colombia
Yerson Mosquera,Apartadó,Colombia,Colombia
Juan Cabal,Santiago de Cali,Colombia,Colombia
Deiver Machado,Tadó,Colombia,Colombia
Johan Mojica,Santiago de Cali,Colombia  Spain,Colombia
Daniel Muñoz,Amalfi,Colombia,Colombia
Santiago Arias,Medellín,Colombia,Colombia
Richard Ríos,Vegachí,Colombia,Colombia
Jefferson Lerma,Cerrito,Colombia,Colombia
Kevin Castaño,Itagüí,Colombia,Colombia
Gustavo Puerta,La Victoria,Colombia,Colombia
Jorge Carrascal,Cartagena de Indias,Colombia,Colombia
James Rodríguez,Cúcuta,Colombia  Spain,Colombia
Juan Fernando Quintero,Medellín,Colombia,Colombia
Luis Díaz,Barrancas,Colombia,Colombia
Andrés Gómez,Quibdó,Colombia,Colombia
Jáminton Campaz,Tumaco,Colombia,Colombia
Johan Carbonero,Santander de Quilichao,Colombia,Colombia
Jhon Arias,Quibdó,Colombia,Colombia
Luis Suárez,Santa Marta,Colombia  Spain,Colombia
Jhon Córdoba,Istmina,Colombia,Colombia
Rafael Borré,Barranquilla,Colombia,Colombia
