name,place_of_birth,citizenship,national_team
Dominik Kotarski,Zabok,Croatia,Croatia
Dominik Livakovic,Zadar,Croatia,Croatia
Ivor Pandur,Rijeka,Croatia,Croatia
Josko Gvardiol,Zagreb,Croatia,Croatia
Luka Vuskovic,Split,Croatia,Croatia
Josip Sutalo,Čapljina,Croatia,Croatia
Marin Pongracic,Landshut,Croatia  Germany,Croatia
Martin Erlić,Zadar,Croatia,Croatia
Duje Caleta-Car,Šibenik,Croatia,Croatia
Josip Stanisic,München,Croatia  Germany,Croatia
Nikola Moro,Split,Croatia,Croatia
Kristijan Jakic,Split,Croatia,Croatia
Petar Sučić,Livno,Croatia  Bosnia-Herzegovina,Croatia
Mateo Kovacic,Linz,Croatia,Croatia
Luka Sucic,Linz,Croatia,Croatia
Mario Pašalić,Mainz,Croatia,Croatia
Luka Modrić,Zadar,Croatia,Croatia
Martin Baturina,Zürich,Croatia,Croatia
Nikola Vlašić,Split,Croatia,Croatia
Toni Fruk,Našice,Croatia,Croatia
Andrej Kramaric,Zagreb,Croatia,Croatia
Ivan Perišić,Split,Croatia,Croatia
Marco Pašalić,Karlsruhe,Croatia  Germany,Croatia
Igor Matanovic,Hamburg,Croatia  Germany,Croatia
Petar Musa,Zagreb,Croatia,Croatia
Ante Budimir,Zenica,Croatia,Croatia
