name,place_of_birth,citizenship,national_team
Eloy Room,Nijmegen,Curacao  Netherlands,Curacao
Trevor Doornbusch,Haarlem,Curacao  Netherlands,Curacao
Tyrick Bodak,Almere,Curacao  Netherlands,Curacao
Armando Obispo,Den Bosch,Curacao  Netherlands,Curacao
Riechedly Bazoer,Utrecht,Curacao  Netherlands,Curacao
Deveron Fonville,Nieuwegein,Curacao  Netherlands,Curacao
Juriën Gaari,Kerkrade,Curacao  Netherlands,Curacao
Roshon van Eijma,Tilburg,Curacao  Netherlands,Curacao
Sherel Floranus,Rotterdam,Curacao  Netherlands,Curacao
Shurandy Sambo,Geldrop,Curacao  Netherlands,Curacao
Joshua Brenet,Kerkrade,Curacao  Netherlands,Curacao
Livano Comenencia,Breda,Curacao  Netherlands,Curacao
Kevin Felida,Spijkenisse,Curacao  Netherlands,Curacao
Godfried Roemeratoe,Oost-Souburg,Curacao  Netherlands,Curacao
Juninho Bacuna,Groningen,Curacao  Netherlands,Curacao
Leandro Bacuna,Groningen,Curacao  Netherlands,Curacao
Tyrese Noslin,Amsterdam,Curacao  Netherlands,Curacao
Tahith Chong,Willemstad,Curacao  Netherlands,Curacao
Jearl Margaritha,Groningen,Curacao  Netherlands,Curacao
Jeremy Antonisse,Rosmalen,Curacao  Netherlands,Curacao
Kenji Gorré,Spijkenisse,Curacao  Netherlands,Curacao
Sontje Hansen,Hoorn,Curacao  Netherlands,Curacao
Ar'jany Martha,Rotterdam,Curacao  Netherlands,Curacao
Brandley Kuwas,Hoorn,Curacao  Netherlands,Curacao
Jürgen Locadia,Emmen,Curacao  Netherlands,Curacao
Gervane Kastaneer,Rotterdam,Curacao  Netherlands,Curacao
