name,place_of_birth,citizenship,national_team
Lukas Hornicek,Vysoké Mýto,Czech Republic,Czechia
Matej Kovar,Uherské Hradiště,Czech Republic,Czechia
Jindrich Stanek,Strakonice,Czech Republic,Czechia
Ladislav Krejčí,Rosice,Czech Republic,Czechia
Robin Hranac,Plzeň,Czech Republic,Czechia
Stepan Chaloupek,Meziboří,Czech Republic,Czechia
David Zima,Olomouc,Czech Republic,Czechia
Tomas Holes,Hradec Králové,Czech Republic,Czechia
Jaroslav Zelený,Hradec Králové,Czech Republic,Czechia
David Jurásek,Dolní Němčí,Czech Republic,Czechia
Vladimír Coufal,Ostrava,Czech Republic,Czechia
Tomáš Souček,Havlíčkův Brod,Czech Republic,Czechia
Michal Sadílek,Uherské Hradiště,Czech Republic,Czechia
Lukas Cerv,Praha,Czech Republic,Czechia
Pavel Bucha,Mělník,Czech Republic,Czechia
Hugo Sochurek,Tábor,Czech Republic,Czechia
Alexandr Sojka,,Czech Republic,Czechia
Vladimír Darida,Plzeň,Czech Republic,Czechia
David Doudera,Brandýs nad Labem-Stará Boleslav,Czech Republic,Czechia
Pavel Sulc,Karlovy Vary,Czech Republic,Czechia
Denis Visinsky,,Czech Republic,Czechia
Tomas Ladra,Česká Lípa,Czech Republic,Czechia
Lukas Provod,Plzeň,Czech Republic,Czechia
Patrik Schick,Praha,Czech Republic,Czechia
Adam Hlozek,Ivančice,Czech Republic,Czechia
Mojmír Chytil,Skalka,Czech Republic,Czechia
Tomas Chory,Olomouc,Czech Republic,Czechia
Jan Kuchta,Liberec,Czech Republic,Czechia
Christophe Kabongo,Praha,Czech Republic  DR Congo,Czechia
