name,place_of_birth,citizenship,national_team
Matthieu Epolo,Brussel,DR Congo  Belgium,Democratic Republic of Congo
Timothy Fayulu,Genève,DR Congo  Switzerland,Democratic Republic of Congo
Lionel Mpasi-Nzau,Meaux,DR Congo  France,Democratic Republic of Congo
Axel Tuanzebe,Bunia,DR Congo  England,Democratic Republic of Congo
Chancel Mbemba,Kinshasa,DR Congo,Democratic Republic of Congo
Steve Kapuadi,Le Mans,DR Congo  France,Democratic Republic of Congo
Dylan Batubinsika,Cergy-Pontoise,DR Congo  France,Democratic Republic of Congo
Joris Kayembe,Brussel,DR Congo  Belgium,Democratic Republic of Congo
Arthur Masuaku,Lille,DR Congo  France,Democratic Republic of Congo
Aaron Wan-Bissaka,London,DR Congo  England,Democratic Republic of Congo
Gédéon Kalulu,Lyon,DR Congo  France,Democratic Republic of Congo
Ngal'ayel Mukau,Antwerpen,DR Congo  Belgium,Democratic Republic of Congo
Charles Pickel,Solothurn,DR Congo  Switzerland,Democratic Republic of Congo
Noah Sadiki,Brussel,DR Congo  Belgium,Democratic Republic of Congo
Edo Kayembe,Kananga,DR Congo,Democratic Republic of Congo
Samuel Moutoussamy,Paris,DR Congo  France,Democratic Republic of Congo
Aaron Tshibola,London,DR Congo  England,Democratic Republic of Congo
Meschack Elia,Kinshasa,DR Congo,Democratic Republic of Congo
Gaël Kakuta,Lille,DR Congo  France,Democratic Republic of Congo
Nathanaël Mbuku,Villeneuve-Saint-Georges,DR Congo  France,Democratic Republic of Congo
Brian Cipenga,Kinshasa,DR Congo,Democratic Republic of Congo
Théo Bongonda,Charleroi,DR Congo  Belgium,Democratic Republic of Congo
Yoane Wissa,Villeneuve-Saint-Georges,DR Congo  France,Democratic Republic of Congo
Simon Banza,Creil,DR Congo  France,Democratic Republic of Congo
Fiston Mayele,Mbuji-Mayi,DR Congo,Democratic Republic of Congo
Cédric Bakambu,Ivry-sur-Seine,DR Congo  France,Democratic Republic of Congo
