name,place_of_birth,citizenship,national_team
Gonzalo Valle,Riobamba,Ecuador,Ecuador
Moisés Ramírez,Guayaquil,Ecuador,Ecuador
David Cabezas,Santo Domingo,Ecuador,Ecuador
Hernán Galíndez,Rosario,Ecuador  Argentina,Ecuador
Willian Pacho,Quinindé,Ecuador,Ecuador
Piero Hincapié,Esmeraldas,Ecuador,Ecuador
Joel Ordóñez,Guayaquil,Ecuador,Ecuador
Léo Realpe,Quinindé,Ecuador,Ecuador
Jackson Porozo,San Lorenzo,Ecuador,Ecuador
Félix Torres,San Lorenzo,Ecuador,Ecuador
Pervis Estupiñán,Esmeraldas,Ecuador  Spain,Ecuador
Yaimar Medina,Eloy Alfaro,Ecuador,Ecuador
Angelo Preciado,Shushufindi,Ecuador,Ecuador
José Andrés Hurtado,Santo Domingo,Ecuador,Ecuador
Moisés Caicedo,Santo Domingo,Ecuador,Ecuador
Jordy Alcívar,Manta,Ecuador,Ecuador
Denil Castillo,Eloy Alfaro,Ecuador,Ecuador
Alan Franco,Alfredo Baquerizo Moreno,Ecuador,Ecuador
Kendry Páez,Guayaquil,Ecuador,Ecuador
Pedro Vite,Babahoyo,Ecuador,Ecuador
John Mercado,Guayaquil,Ecuador,Ecuador
Gonzalo Plata,Guayaquil,Ecuador,Ecuador
Alan Minda,Esmeraldas,Ecuador,Ecuador
Bryan Ramírez,Esmeraldas,Ecuador,Ecuador
Elías Legendre Quiñónez,La Concordia,Ecuador  France,Ecuador
Janner Corozo,Guayaquil,Ecuador,Ecuador
Anthony Valencia,Guayaquil,Ecuador,Ecuador
John Yeboah,Hamburg,Ecuador  Germany,Ecuador
Jeremy Arévalo,Maliaño,Ecuador  Spain,Ecuador
Kevin Rodríguez,Ibarra,Ecuador,Ecuador
Jordy Caicedo,Machala,Ecuador,Ecuador
Enner Valencia,San Lorenzo,Ecuador,Ecuador
