name,place_of_birth,citizenship,national_team
Oufa Shobeir,Giza,Egypt,Egypt
Mohamed Alaa,,Egypt,Egypt
Mohamed El Shenawy,El Hamool,Egypt,Egypt
El Mahdi Soliman,,Egypt,Egypt
Mohamed Abdelmonem,Zagazig,Egypt,Egypt
Hossam Abdelmaguid,,Egypt,Egypt
Ramy Rabia,Kairo,Egypt,Egypt
Yasser Ibrahim,Mansoura,Egypt,Egypt
Ahmed Fatouh,Kairo,Egypt,Egypt
Karim Hafez,Beheira,Egypt,Egypt
Mohamed Hany,Kairo,Egypt,Egypt
Tarek Alaa,,Egypt,Egypt
Marwan Ateya,Kafr El Dawwar,Egypt,Egypt
Mohanad Lasheen,Kairo,Egypt,Egypt
Hamdy Fathy,Behira,Egypt,Egypt
Nabil Dunga,,Egypt,Egypt
Emam Ashour,El Senbellawein,Egypt,Egypt
Mahmoud Saber,Desouk,Egypt,Egypt
Trezeguet,Kafr El-Sheikh,Egypt,Egypt
Ibrahim Adel,Port Said,Egypt,Egypt
Mostafa Ziko,Alexandria,Egypt,Egypt
Mohamed Salah,"Nagrig, Basyoun",Egypt,Egypt
Haissem Hassan,Bagnolet,Egypt  France,Egypt
Zizo,Minya,Egypt,Egypt
Omar Marmoush,Cairo,Egypt  Canada,Egypt
Hamza Abdelkarim,Kairo,Egypt,Egypt
Aqtay Abdallah,,Egypt,Egypt
