name,place_of_birth,citizenship,national_team
Dean Henderson,Whitehaven,England,England
James Trafford,Greysouthen,England,England
Jordan Pickford,Washington,England,England
Marc Guéhi,Abidjan,England  Cote d'Ivoire,England
Jarell Quansah,Warrington,England  Scotland,England
Ezri Konsa,London,England  DR Congo,England
John Stones,Barnsley,England,England
Dan Burn,Blyth,England,England
Nico O'Reilly,Manchester,England  Jamaica,England
Djed Spence,London,England  Jamaica,England
Reece James,London,England,England
Tino Livramento,London,England  Scotland,England
Jordan Henderson,Sunderland,England,England
Declan Rice,London,England  Ireland,England
Elliot Anderson,Whitley Bay,England  Scotland,England
Kobbie Mainoo,Stockport,England  Ghana,England
Jude Bellingham,Stourbridge,England  Ireland,England
Morgan Rogers,Halesowen,England,England
Eberechi Eze,London,England  Nigeria,England
Anthony Gordon,Liverpool,England,England
Marcus Rashford,Manchester,England  St. Kitts & Nevis,England
Bukayo Saka,London,England  Nigeria,England
Noni Madueke,London,England  Nigeria,England
Harry Kane,London,England  Ireland,England
Ollie Watkins,Torquay,England,England
Ivan Toney,Northampton,England  Jamaica,England
