name,place_of_birth,citizenship,national_team
Mike Maignan,Cayenne,France  French Guiana,France
Robin Risser,Colmar,France,France
Brice Samba,Linzolo,France  Congo,France
William Saliba,Bondy,France  Cameroon,France
Dayot Upamecano,Évreux,France  Guinea-Bissau,France
Ibrahima Konaté,Paris,France  Mali,France
Maxence Lacroix,Villeneuve-Saint-Georges,France  Guadeloupe,France
Theo Hernández,Marseille,France  Spain,France
Lucas Hernández,Marseille,France  Spain,France
Lucas Digne,Meaux,France,France
Jules Koundé,Paris,France  Benin,France
Malo Gusto,Décines-Charpieu,France  Martinique,France
Aurélien Tchouaméni,Rouen,France  Cameroon,France
N'Golo Kanté,Paris,France  Mali,France
Warren Zaïre-Emery,Montreuil,France  Martinique,France
Manu Koné,Colombes,France  Cote d'Ivoire,France
Adrien Rabiot,Saint-Maurice,France,France
Rayan Cherki,Lyon,France  Algeria,France
Bradley Barcola,Lyon,France  Togo,France
Michael Olise,London,France  England,France
Désiré Doué,Angers,France  Cote d'Ivoire,France
Maghnes Akliouche,Tremblay-en-France,France  Algeria,France
Kylian Mbappé,Paris,France  Cameroon,France
Ousmane Dembélé,Vernon,France,France
Marcus Thuram,Parma,France  Guadeloupe,France
Jean-Philippe Mateta,Sevran,France  DR Congo,France
