name,place_of_birth,citizenship,national_team
Alexander Nübel,Paderborn,Germany,Germany
Manuel Neuer,Gelsenkirchen,Germany,Germany
Oliver Baumann,Breisach am Rhein,Germany,Germany
Nico Schlotterbeck,Waiblingen,Germany,Germany
Malick Thiaw,Düsseldorf,Germany  Finland,Germany
Jonathan Tah,Hamburg,Germany  Cote d'Ivoire,Germany
Waldemar Anton,Almalyk,Germany,Germany
Antonio Rüdiger,Berlin,Germany  Sierra Leone,Germany
Nathaniel Brown,Amberg,Germany  United States,Germany
David Raum,Nürnberg,Germany,Germany
Aleksandar Pavlovic,München,Germany  Serbia,Germany
Angelo Stiller,München,Germany,Germany
Joshua Kimmich,Rottweil,Germany,Germany
Felix Nmecha,Hamburg,Germany  England,Germany
Nadiem Amiri,Ludwigshafen am Rhein,Germany,Germany
Leon Goretzka,Bochum,Germany,Germany
Pascal Groß,Mannheim,Germany,Germany
Jamal Musiala,Stuttgart,Germany  England,Germany
Florian Wirtz,Pulheim,Germany,Germany
Lennart Karl,Frammersbach,Germany,Germany
Jamie Leweling,Nürnberg,Germany  Ghana,Germany
Leroy Sané,Essen,Germany  France,Germany
Nick Woltemade,Bremen,Germany,Germany
Kai Havertz,Aachen,Germany,Germany
Maximilian Beier,Brandenburg an der Havel,Germany,Germany
Deniz Undav,Varel,Germany,Germany
