name,place_of_birth,citizenship,national_team
Lawrence Ati Zigi,Accra,Ghana,Ghana
Joseph Anang,Teshie,Ghana  England,Ghana
Benjamin Asare,,Ghana,Ghana
Kojo Peprah Oppong,Accra,Ghana,Ghana
Jonas Adjetey,Accra,Ghana,Ghana
Jerome Opoku,London,Ghana  England,Ghana
Alexander Djiku,Montpellier,Ghana  France,Ghana
Manu Duah,Accra,Ghana,Ghana
Patric Pfeiffer,Hamburg,Ghana  Germany,Ghana
Derrick Köhn,Hamburg,Ghana  Germany,Ghana
Gideon Mensah,Accra,Ghana,Ghana
Marvin Senaya,Saint-Maurice,Ghana  France,Ghana
Ibrahim Sulemana,Sunyani,Ghana,Ghana
Elisha Owusu,Montreuil,Ghana  France,Ghana
Thomas Partey,Odumase Krobo,Ghana,Ghana
Caleb Yirenkyi,Bechem,Ghana,Ghana
Kwasi Sibo,Wa,Ghana,Ghana
Augustine Boakye,Bompata,Ghana,Ghana
Kamaldeen Sulemana,Techiman,Ghana,Ghana
Christopher Bonsu Baah,Accra,Ghana,Ghana
Francis Amuzu,Accra,Ghana  Belgium,Ghana
Antoine Semenyo,London,Ghana  England,Ghana
Mohammed Kudus,Accra,Ghana,Ghana
Abdul Fatawu,Tamale,Ghana,Ghana
Jesurun Rak-Sakyi,London,Ghana  England,Ghana
Dan Agyei,London,Ghana  England,Ghana
Brandon Thomas-Asante,Milton Keynes,Ghana  England,Ghana
Ransford Königsdörffer,Berlin,Ghana  Germany,Ghana
Prince Adu,Sunyani,Ghana,Ghana
Jordan Ayew,Marseille,Ghana  France,Ghana
