name,place_of_birth,citizenship,national_team
Alexandre Pierre,Aubervilliers,Haiti  France,Haiti
Johny Placide,Montfermeil,Haiti  France,Haiti
Josué Duverger,"Montréal, Québec",Haiti  Canada,Haiti
Hannes Delcroix,Petite-Rivière-de-l'Artibonite,Haiti  Belgium,Haiti
Jean-Kévin Duverne,Paris,Haiti  France,Haiti
Ricardo Adé,Saint-Marc,Haiti,Haiti
Keeto Thermoncy,Fribourg,Haiti  Switzerland,Haiti
Martin Expérience,Châteaubriant,Haiti  France,Haiti
Duke Lacroix,"New Egypt, New Jersey",Haiti  United States,Haiti
Carlens Arcus,Port-au-Prince,Haiti,Haiti
Wilguens Paugain,Thomazeau,Haiti  France,Haiti
Danley Jean Jacques,Petit-Goâve,Haiti,Haiti
Leverton Pierre,Tabarre,Haiti,Haiti
Dominique Simon,Pontoise,Haiti  France,Haiti
Carl Sainté,Grand-Goâve,Haiti,Haiti
Woodensky Pierre,Cité Soleil,Haiti,Haiti
Jean-Ricner Bellegarde,Colombes,Haiti  France,Haiti
Derrick Etienne Jr.,"Richmond, Virginia",Haiti  United States,Haiti
Ruben Providence,Lagny-sur-Marne,Haiti  France,Haiti
Josué Casimir,Baie-Mahault,Haiti  Guadeloupe,Haiti
Louicius Deedson,Tabarre,Haiti  United States,Haiti
Wilson Isidor,Rennes,Haiti  France,Haiti
Lenny Joseph,Paris,Haiti  France,Haiti
Frantzdy Pierrot,Cap-Haïtien,Haiti  United States,Haiti
Duckens Nazon,Châtenay-Malabry,Haiti  France,Haiti
Yassin Fortuné,Aubervilliers,Haiti  France,Haiti
