name,place_of_birth,citizenship,national_team
Payam Niazmand,Tehran,Iran,Iran
Mohammad Khalifeh,"Marvdasht, Fars",Iran,Iran
Alireza Beiranvand,"Khorramabad, Lorestan",Iran,Iran
Seyed Hossein Hosseini,"Shiraz, Fars",Iran,Iran
Hossein Kanaani,"Mahshahr, Khuzestan",Iran,Iran
Danial Eiri,"Gonbad-e Kavus, Golestan",Iran,Iran
Ali Nemati,"Nishabur, Razavi Khorasan",Iran,Iran
Shoja Khalilzadeh,"Bahnemir, Mazandaran",Iran,Iran
Milad Mohammadi,Tehran,Iran,Iran
Ehsan Hajsafi,"Kashan, Isfahan",Iran,Iran
Arya Yousefi,"Mahshahr, Khuzestan",Iran,Iran
Saleh Hardani,"Bahmaei, Khuzestan",Iran,Iran
Ramin Rezaeian,"Sari, Mazandaran",Iran,Iran
Saeed Ezatolahi,"Bandar Anzali, Gilan",Iran,Iran
Mohammad Ghorbani,"Arak, Markazi",Iran,Iran
Roozbeh Cheshmi,Tehran,Iran,Iran
Amirmohammad Razzaghinia,Yazd,Iran,Iran
Omid Noorafkan,"Shahr-e Rey, Tehran",Iran,Iran
Saman Ghoddos,Malmö,Iran  Sweden,Iran
Hadi Habibinejad,"Baghmalek, Khuzestan",Iran,Iran
Mehdi Ghayedi,Bushehr,Iran,Iran
Mohammad Mohebi,Bushehr,Iran,Iran
Mehdi Torabi,"Karaj, Alborz",Iran,Iran
Amirhossein Mahmoudi,Tehran,Iran,Iran
Alireza Jahanbakhsh,"Jirandeh, Gilan",Iran  Netherlands,Iran
Mehdi Taremi,Bushehr,Iran,Iran
Amirhossein Hosseinzadeh,Tehran,Iran,Iran
Dennis Eckert Ayensa,Bonn,Iran  Germany,Iran
Ali Alipour,"Qaemshahr, Mazandaran",Iran,Iran
Shahriar Moghanlou,"Shahr-e Rey, Tehran",Iran,Iran
Kasra Taheri,"Yasuj, Kohgiluyeh and Boyer-Ahmad",Iran,Iran
