name,place_of_birth,citizenship,national_team
Ahmed Basil Fadhil,"---, Baghdad",Iraq,Iraq
Fahad Talib,"---, Baghdad",Iraq,Iraq
Kumel Al-Rekabe,Aarau,Iraq  Switzerland,Iraq
Zaid Tahseen,Najaf,Iraq,Iraq
Akam Hashem,Erbil,Iraq,Iraq
Maytham Jabbar,Baghdad,Iraq,Iraq
Manaf Younis,Tikrit,Iraq,Iraq
Frans Dhia Putros,Aarhus,Iraq  Denmark,Iraq
Rebin Sulaka,"Ankawa, Erbil",Iraq  Sweden,Iraq
Merchas Doski,Hannover,Iraq  Germany,Iraq
Ahmed Hasan,"---, Baghdad",Iraq,Iraq
Hussein Ali,Malmö,Iraq  Sweden,Iraq
Amir Al-Ammari,Jönköping,Iraq  Sweden,Iraq
Zaid Ismail,,Iraq,Iraq
Aimar Sher,Kirkuk,Iraq  Sweden,Iraq
Zidane Iqbal,Manchester,Iraq  England,Iraq
Kevin Yakob,Göteborg,Iraq  Sweden,Iraq
Jussef Nasrawe,München,Iraq  Germany,Iraq
Ibrahim Bayesh,"---, Baghdad",Iraq,Iraq
Karar Nabeel,,Iraq,Iraq
Marko Farji,Grimstad,Iraq  Norway,Iraq
Youssef Amyn,Essen,Iraq  Germany,Iraq
Ali Jasim,"Rusafa, Baghdad",Iraq,Iraq
Hasan Abdulkareem,"---, Baghdad",Iraq,Iraq
Peter Gwargis,Sydney,Iraq  Sweden,Iraq
Ali Al-Hamadi,"---, Maysan",Iraq  England,Iraq
Mohanad Ali,Baghdad,Iraq,Iraq
Aymen Hussein,"Al-Safra, Kirkuk",Iraq,Iraq
Ali Yousif,,Iraq,Iraq
