name,place_of_birth,citizenship,national_team
Yahia Fofana,Paris,Cote d'Ivoire  France,Ivory Coast
Alban Lafont,Ouagadougou,Cote d'Ivoire  France,Ivory Coast
Mohamed Koné,Adjamé,Cote d'Ivoire  France,Ivory Coast
Ousmane Diomande,Abidjan,Cote d'Ivoire,Ivory Coast
Evan Ndicka,Paris,Cote d'Ivoire  France,Ivory Coast
Wilfried Singo,Grand-Béréby,Cote d'Ivoire,Ivory Coast
Odilon Kossounou,Abidjan,Cote d'Ivoire,Ivory Coast
Emmanuel Agbadou,Abidjan,Cote d'Ivoire,Ivory Coast
Clément Akpa,Meudon,Cote d'Ivoire  France,Ivory Coast
Ghislain Konan,Abidjan,Cote d'Ivoire,Ivory Coast
Guéla Doué,Angers,Cote d'Ivoire  France,Ivory Coast
Ibrahim Sangaré,Abidjan,Cote d'Ivoire,Ivory Coast
Jean Michaël Seri,Grand-Béréby,Cote d'Ivoire,Ivory Coast
Christ Inao Oulaï,Yopougon,Cote d'Ivoire,Ivory Coast
Franck Kessié,Ouragahio,Cote d'Ivoire  Italy,Ivory Coast
Seko Fofana,Paris,Cote d'Ivoire  France,Ivory Coast
Yan Diomande,Abidjan,Cote d'Ivoire,Ivory Coast
Bazoumana Touré,Bouaké,Cote d'Ivoire,Ivory Coast
Simon Adingra,Abobo,Cote d'Ivoire,Ivory Coast
Parfait Guiagon,Logouale,Cote d'Ivoire,Ivory Coast
Amad Diallo,Abidjan,Cote d'Ivoire  Italy,Ivory Coast
Evann Guessand,Ajaccio,Cote d'Ivoire  France,Ivory Coast
Nicolas Pépé,Mantes-la-Jolie,Cote d'Ivoire  France,Ivory Coast
Ange-Yoan Bonny,Aubervilliers,Cote d'Ivoire  France,Ivory Coast
Elye Wahi,Courcouronnes,Cote d'Ivoire  France,Ivory Coast
Oumar Diakité,Bingerville,Cote d'Ivoire,Ivory Coast
