name,place_of_birth,citizenship,national_team
Zion Suzuki,"Newark, New Jersey",Japan  United States,Japan
Keisuke Osako,"Izumi, Kagoshima",Japan,Japan
Tomoki Hayakawa,"Sagamihara, Kanagawa",Japan,Japan
Hiroki Ito,"Hamamatsu, Shizuoka",Japan,Japan
Ko Itakura,"Yokohama, Kanagawa",Japan,Japan
Tsuyoshi Watanabe,"---, Saitama",Japan,Japan
Junnosuke Suzuki,"Kakamigahara, Gifu",Japan,Japan
Shogo Taniguchi,"Kumamoto, Kumamoto",Japan,Japan
Maya Yoshida,"Nagasaki, Nagasaki",Japan,Japan
Yuto Nagatomo,"Saijo, Ehime",Japan,Japan
Takehiro Tomiyasu,"Fukuoka, Fukuoka",Japan,Japan
Yukinari Sugawara,"Toyokawa, Aichi",Japan,Japan
Kaishu Sano,"Tsuyama, Okayama",Japan,Japan
Wataru Endo,"Yokohama, Kanagawa",Japan,Japan
Ayumu Seko,"Osaka, Osaka",Japan,Japan
Ao Tanaka,"Kawasaki, Kanagawa",Japan,Japan
Daichi Kamada,"Iyo, Ehime",Japan,Japan
Daizen Maeda,"Taishi, Osaka",Japan,Japan
Keito Nakamura,"Abiko, Chiba",Japan,Japan
Takefusa Kubo,"Kawasaki, Kanagawa",Japan,Japan
Ritsu Doan,"Amagasaki, Hyogo",Japan,Japan
Junya Ito,"Yokosuka, Kanagawa",Japan,Japan
Yuito Suzuki,"Miura, Kanagawa",Japan,Japan
Ayase Ueda,"Mito, Ibaraki",Japan,Japan
Keisuke Goto,"Hamamatsu, Shizuoka",Japan,Japan
Kento Shiogai,"---, Tokyo",Japan,Japan
Koki Ogawa,"Yokohama, Kanagawa",Japan,Japan
