name,place_of_birth,citizenship,national_team
Yazeed Abulaila,Zarqa,Jordan,Jordan
Abdallah Al-Fakhouri,Russeifa,Jordan,Jordan
Abdel Rahman Al-Talalga,,Jordan,Jordan
Yazan Al-Arab,Russeifa,Jordan,Jordan
Abdallah Nasib,Aqaba,Jordan,Jordan
Husam Abu Dahab,,Jordan,Jordan
Yousef Abu Al-Jazar,Ar-Ramtha,Jordan,Jordan
Mohammad Abualnadi,"Overland Park, Kansas",Jordan  United States,Jordan
Saleem Obaid,Amman,Jordan,Jordan
Mohammad Abu Hasheesh,,Jordan  Iraq,Jordan
Mohannad Abu Taha,Amman,Jordan,Jordan
Mohammad Taha,,Jordan,Jordan
Nizar Al-Rashdan,Irbid,Jordan,Jordan
Noor Al-Rawabdeh,Amman,Jordan,Jordan
Amer Jamous,,Jordan,Jordan
Ibrahim Saadeh,Zarqa,Jordan,Jordan
Mohammad Al-Dawoud,,Jordan,Jordan
Yousef Qashi,,Jordan  Germany,Jordan
Ahmad Assaf,München,Jordan  Germany,Jordan
Mahmoud Al-Mardi,Aqaba,Jordan,Jordan
Odeh Fakhoury,,Jordan,Jordan
Mousa Tamari,Amman,Jordan,Jordan
Shararh,Ar-Ramtha,Jordan,Jordan
Ali Azaizeh,-,Jordan  Germany,Jordan
Ibrahim Sabra,Amman,Jordan,Jordan
Baha'a Faisal,Zarqa,Jordan,Jordan
