name,place_of_birth,citizenship,national_team
Raúl Rangel,Zapotlán el Grande,Mexico,Mexico
Carlos Acevedo,Torreón,Mexico,Mexico
Israel Reyes,Autlán de Navarro,Mexico,Mexico
Jesús Gallardo,Cárdenas,Mexico,Mexico
Érik Lira,Mexico City,Mexico,Mexico
Luis Romo,Los Mochis,Mexico,Mexico
Gilberto Mora,Tuxtla Gutiérrez,Mexico,Mexico
Brian Gutiérrez,"Berwyn, Illinois",Mexico  United States,Mexico
Alexis Vega,Mexico City,Mexico,Mexico
Roberto Alvarado,"Salamanca, Guanajuato",Mexico,Mexico
Armando González,Celaya,Mexico,Mexico
Guillermo Martínez,Celaya,Mexico,Mexico
