name,place_of_birth,citizenship,national_team
El Mehdi Al Harrar,Casablanca,Morocco,Morocco
Munir El Kajoui,Melilla,Morocco  Spain,Morocco
Yanis Benchaouch,Périgueux,Morocco  France,Morocco
Ibrahim Gomis,Perpignan,Morocco  France,Morocco
Abdelhamid Ait Boudlal,Marrakech,Morocco,Morocco
Ismaël Baouf,Charleroi,Morocco  Belgium,Morocco
Soufiane Bouftini,Casablanca,Morocco,Morocco
Marwane Saadane,Mohammedia,Morocco,Morocco
Souffian El Karouani,Den Bosch,Morocco  Netherlands,Morocco
Anass Salah-Eddine,Amsterdam,Morocco  Netherlands,Morocco
Youssef Belammari,Rabat,Morocco,Morocco
Mohamed Chibi,Casablanca,Morocco,Morocco
Oussama Targhalline,Casablanca,Morocco,Morocco
Ayyoub Bouaddi,Senlis,Morocco  France,Morocco
Samir El Mourabet,Strasbourg,Morocco  France,Morocco
Imrân Louza,Nantes,Morocco  France,Morocco
Soufiane El-Faouzi,Siegen,Morocco  Germany,Morocco
Ismael Saibari,Terrassa,Morocco  Belgium,Morocco
Rayane Bounida,Vilvoorde,Morocco  Belgium,Morocco
Sofiane Boufal,Paris,Morocco  France,Morocco
Amine Sbaï,Sidi Kacem,Morocco  France,Morocco
Gessime Yassine,Salon-de-Provence,Morocco  France,Morocco
Ayoube Amaimouni-Echghouyab,Vic,Morocco  Spain,Morocco
Othmane Maamma,Alès,Morocco  France,Morocco
Yassir Zabiri,Marrakech,Morocco,Morocco
Yanis Begraoui,Étampes,Morocco  France,Morocco
Ayoub El Kaabi,Casablanca,Morocco,Morocco
Tawfik Bentayeb,Casablanca,Morocco,Morocco
Soufiane Benjdida,Casablanca,Morocco,Morocco
