name,place_of_birth,citizenship,national_team
Bart Verbruggen,Zwolle,Netherlands,Netherlands
Mark Flekken,Bocholtz,Netherlands,Netherlands
Justin Bijlow,Rotterdam,Netherlands,Netherlands
Micky van de Ven,Wormer,Netherlands,Netherlands
Jan Paul van Hecke,Arnemuiden,Netherlands,Netherlands
Virgil van Dijk,Breda,Netherlands  Suriname,Netherlands
Nathan Aké,Den Haag,Netherlands  Cote d'Ivoire,Netherlands
Stefan de Vrij,Ouderkerk aan den IJssel,Netherlands,Netherlands
Jorrel Hato,Rotterdam,Netherlands  Curacao,Netherlands
Jeremie Frimpong,Amsterdam,Netherlands  Ghana,Netherlands
Denzel Dumfries,Rotterdam,Netherlands  Aruba,Netherlands
Lutsharel Geertruida,Rotterdam,Netherlands  Curacao,Netherlands
Ryan Gravenberch,Amsterdam,Netherlands  Suriname,Netherlands
Jerdy Schouten,Spijkenisse,Netherlands,Netherlands
Teun Koopmeiners,Castricum,Netherlands,Netherlands
Tijjani Reijnders,Zwolle,Netherlands,Netherlands
Kees Smit,Heiloo,Netherlands,Netherlands
Quinten Timber,Utrecht,Netherlands  Curacao,Netherlands
Luciano Valente,Groningen,Netherlands  Italy,Netherlands
Xavi Simons,Amsterdam,Netherlands  Suriname,Netherlands
Cody Gakpo,Eindhoven,Netherlands  Togo,Netherlands
Noa Lang,Capelle aan den IJssel,Netherlands  Suriname,Netherlands
Donyell Malen,Wieringen,Netherlands  Suriname,Netherlands
Brian Brobbey,Amsterdam,Netherlands  Ghana,Netherlands
Wout Weghorst,Borne,Netherlands,Netherlands
