name,place_of_birth,citizenship,national_team
Max Crocombe,Auckland,New Zealand  England,New Zealand
Alex Paulsen,Auckland,New Zealand  South Africa,New Zealand
Michael Woud,Auckland,New Zealand  Netherlands,New Zealand
Tyler Bindon,Auckland,New Zealand  United States,New Zealand
Finn Surman,Cardiff,New Zealand  Wales,New Zealand
Nando Pijnaker,Brummen,New Zealand  Netherlands,New Zealand
Michael Boxall,Auckland,New Zealand  Samoa,New Zealand
Tommy Smith,Macclesfield,New Zealand  England,New Zealand
Liberato Cacace,Wellington,New Zealand  Italy,New Zealand
Ben Old,Auckland,New Zealand,New Zealand
Francis de Vries,Christchurch,New Zealand,New Zealand
Tim Payne,Auckland,New Zealand,New Zealand
Callan Elliot,Dumfries,New Zealand  Scotland,New Zealand
Joe Bell,Bristol,New Zealand  England,New Zealand
Ryan Thomas,Te Puke,New Zealand  England,New Zealand
Alex Rufer,Genève,New Zealand  Switzerland,New Zealand
Marko Stamenić,Wellington,New Zealand  Serbia,New Zealand
Matthew Garbett,London,New Zealand  France,New Zealand
Lachlan Bayliss,Darwin,New Zealand  Australia,New Zealand
Callum McCowatt,Auckland,New Zealand,New Zealand
Sarpreet Singh,Auckland,New Zealand  India,New Zealand
Jesse Randall,Wellington,New Zealand  England,New Zealand
Elijah Just,Palmerston North,New Zealand,New Zealand
Chris Wood,Auckland,New Zealand,New Zealand
Ben Waine,Wellington,New Zealand  England,New Zealand
Kosta Barbarouses,Wellington,New Zealand  Greece,New Zealand
