name,place_of_birth,citizenship,national_team
Sander Tangvik,Trondheim,Norway,Norway
Egil Selvik,Sandnes,Norway,Norway
Ørjan Nyland,Volda,Norway,Norway
Kristoffer Ajer,Rælingen,Norway,Norway
Torbjørn Heggem,Trondheim,Norway,Norway
Leo Østigård,Åndalsnes,Norway,Norway
Henrik Falchener,Tønsberg,Norway,Norway
Sondre Langås,Namsos,Norway,Norway
David Møller Wolfe,Bergen,Norway,Norway
Fredrik Bjørkan,Bodø,Norway,Norway
Julian Ryerson,Lyngdal,Norway  United States,Norway
Marcus Pedersen,Hammerfest,Norway,Norway
Sander Berge,Bærum,Norway,Norway
Patrick Berg,Bodø,Norway,Norway
Fredrik Aursnes,Hareid,Norway,Norway
Kristian Thorstvedt,Stavanger,Norway,Norway
Morten Thorsby,Oslo,Norway,Norway
Martin Ødegaard,Drammen,Norway,Norway
Thelo Aasgaard,Liverpool,Norway  England,Norway
Antonio Nusa,Langhus,Norway  Nigeria,Norway
Andreas Schjelderup,Bodø,Norway,Norway
Jens Petter Hauge,Bodø,Norway,Norway
Oscar Bobb,Oslo,Norway  The Gambia,Norway
Erling Haaland,Leeds,Norway,Norway
Jørgen Strand Larsen,Halden,Norway,Norway
Alexander Sørloth,Trondheim,Norway,Norway
