name,place_of_birth,citizenship,national_team
Orlando Mosquera,San Miguelito,Panama,Panama
César Samudio,Ciudad de Panamá,Panama,Panama
Luis Mejía,Panama City,Panama  Uruguay,Panama
José Córdoba,Ciudad de Panamá,Panama,Panama
Andrés Andrade,Ciudad de Panamá,Panama,Panama
Jiovany Ramos,Panama City,Panama,Panama
Roderick Miller,Panama City,Panama,Panama
Martín Krug,"Chicago, Illinois",Panama  United States,Panama
Jorge Gutiérrez,Ciudad de Panamá,Panama,Panama
Éric Davis,Colón,Panama,Panama
Amir Murillo,Salamanca,Panama,Panama
César Blackman,Ciudad de Panamá,Panama,Panama
Cristian Martínez,Ciudad de Panamá,Panama  United States,Panama
Carlos Harvey,Ciudad de Panamá,Panama  United States,Panama
Aníbal Godoy,Ciudad de Panamá,Panama  United States,Panama
Adalberto Carrasquilla,Ciudad de Panamá,Panama,Panama
José Luis Rodríguez,Chorrillo,Panama,Panama
Ismael Díaz,Panama City,Panama,Panama
Yoel Bárcenas,Colón,Panama,Panama
César Yanis,Ciudad de Panamá,Panama,Panama
Kadir Barría,Ciudad de Panamá,Panama,Panama
José Fajardo,Colón,Panama,Panama
Cecilio Waterman,Ciudad de Panamá,Panama,Panama
