name,place_of_birth,citizenship,national_team
Orlando Gill,San Lorenzo,Paraguay,Paraguay
Gastón Olveira,Montevideo,Paraguay  Uruguay,Paraguay
Roberto Fernández,Asunción,Paraguay,Paraguay
Omar Alderete,Asunción,Paraguay,Paraguay
Gustavo Gómez,Misiones,Paraguay,Paraguay
José Canale,Itauguá,Paraguay,Paraguay
Júnior Alonso,Asunción,Paraguay,Paraguay
Fabián Balbuena,Ciudad del Este,Paraguay,Paraguay
Gustavo Velázquez,Villa del Rosario,Paraguay,Paraguay
Alexandro Maidana,Caacupé,Paraguay,Paraguay
Juan José Cáceres,Dock Sud,Paraguay  Argentina,Paraguay
Alan Benítez,Asunción,Paraguay,Paraguay
Braian Ojeda,Itauguá,Paraguay,Paraguay
Lucas Romero,Choré,Paraguay,Paraguay
Diego Gómez,San Juan Bautista,Paraguay,Paraguay
Damián Bobadilla,Asunción,Paraguay,Paraguay
Matías Galarza,Asunción,Paraguay  Bolivia,Paraguay
Julio Enciso,Caaguazú,Paraguay,Paraguay
Mauricio,São Paulo,Paraguay  Brazil,Paraguay
Gustavo Caballero,San Lorenzo,Paraguay,Paraguay
Miguel Almirón,Asunción,Paraguay,Paraguay
Ramón Sosa,Maracaná,Paraguay  Argentina,Paraguay
Álex Arce,Carapeguá,Paraguay,Paraguay
Antonio Sanabria,San Lorenzo,Paraguay  Spain,Paraguay
Gabriel Ávalos,Hohenau,Paraguay,Paraguay
