name,place_of_birth,citizenship,national_team
Diogo Costa,Rothrist,Portugal  Switzerland,Portugal
Rui Silva,Maia,Portugal,Portugal
José Sá,Braga,Portugal,Portugal
Ricardo Velho,Vila Nova de Famalicão,Portugal,Portugal
Rúben Dias,Amadora,Portugal,Portugal
Gonçalo Inácio,Almada,Portugal,Portugal
Tomás Araújo,Famalicão,Portugal,Portugal
Renato Veiga,Lisboa,Portugal  Cape Verde,Portugal
Nuno Mendes,Lisboa,Portugal,Portugal
Matheus Nunes,Rio de Janeiro,Portugal  Brazil,Portugal
Diogo Dalot,Braga,Portugal,Portugal
João Cancelo,Barreiro,Portugal,Portugal
Nélson Semedo,Lisboa,Portugal  Cape Verde,Portugal
Vitinha,Vila das Aves,Portugal,Portugal
Rúben Neves,Santa Maria da Feira,Portugal,Portugal
Samú Costa,Aveiro,Portugal,Portugal
João Neves,Tavira,Portugal,Portugal
Bruno Fernandes,Maia,Portugal,Portugal
Francisco Trincão,Viana do Castelo,Portugal,Portugal
Bernardo Silva,Lisboa,Portugal,Portugal
Rafael Leão,Almada,Portugal  Angola,Portugal
Gonçalo Guedes,Benavente,Portugal,Portugal
Pedro Neto,Viana do Castelo,Portugal,Portugal
Francisco Conceição,Coimbra,Portugal,Portugal
João Félix,Viseu,Portugal,Portugal
Gonçalo Ramos,Olhão,Portugal,Portugal
Cristiano Ronaldo,Funchal,Portugal,Portugal
