name,place_of_birth,citizenship,national_team
Meshaal Barsham,Khartoum,Qatar  Sudan,Qatar
Mahmoud Abunada,Doha,Qatar  Palestine,Qatar
Shehab Ellethy,-,Qatar  Egypt,Qatar
Tarek Salman,Al-Wakrah,Qatar  Egypt,Qatar
Lucas Mendes,Curitiba,Qatar  Brazil,Qatar
Youssef Ayman,-,Qatar  Egypt,Qatar
Niall Mason,Brighton,Qatar  United States,Qatar
Al-Hashmi Al-Hussain,-,Qatar  Sudan,Qatar
Issa Laye,-,Qatar  Senegal,Qatar
Homam Al-Amin,Doha,Qatar  Sudan,Qatar
Mohammed Waad,"---, Baghdad",Qatar  Iraq,Qatar
Sultan Al-Brake,Doha,Qatar,Qatar
Ayoub Al-Oui,,Qatar,Qatar
Jassem Gaber,Doha,Qatar  Egypt,Qatar
Mohamed Al-Mannai,,Qatar  Tunisia,Qatar
Assim Madibo,Khartoum,Qatar  Sudan,Qatar
Ahmed Fathi,Doha,Qatar  Egypt,Qatar
Abdulaziz Hatim,Doha,Qatar  Sudan,Qatar
Anas Abweny,,Qatar  Jordan,Qatar
Akram Afif,Doha,Qatar  Yemen,Qatar
Edmílson Junior,Liège,Qatar  Brazil,Qatar
Mohamed Khaled Gouda,,Qatar  Egypt,Qatar
Khalid Ali Sabah,,Qatar  Yemen,Qatar
Ahmed Alaaeldin,Ismailia,Qatar  Egypt,Qatar
Mohammed Muntari,Kumasi,Qatar  Ghana,Qatar
