name,place_of_birth,citizenship,national_team
Nawaf Al-Aqidi,Riyadh,Saudi Arabia,Saudi Arabia
Mohammed Al-Yami,Najran,Saudi Arabia,Saudi Arabia
Ahmed Al-Kassar,Qatif,Saudi Arabia,Saudi Arabia
Abdulelah Al-Amri,Ta'if,Saudi Arabia,Saudi Arabia
Rayan Hamed,Jeddah,Saudi Arabia,Saudi Arabia
Ayman Yahya,Riyadh,Saudi Arabia,Saudi Arabia
Muteb Al-Mufarrij,Riyadh,Saudi Arabia,Saudi Arabia
Hassan Kadesh,Dammam,Saudi Arabia,Saudi Arabia
Saud Abdulhamid,Jeddah,Saudi Arabia,Saudi Arabia
Ali Majrashi,Al-Hamimah,Saudi Arabia,Saudi Arabia
Ziyad Al-Johani,Jeddah,Saudi Arabia,Saudi Arabia
Musab Al-Juwayr,Riyadh,Saudi Arabia,Saudi Arabia
Murad Al-Hawsawi,,Saudi Arabia,Saudi Arabia
Mohamed Kanno,Khobar,Saudi Arabia,Saudi Arabia
Naif Masoud,Khobar,Saudi Arabia,Saudi Arabia
Salman Al-Faraj,Medina,Saudi Arabia,Saudi Arabia
Marwan Al-Sahafi,Jeddah,Saudi Arabia,Saudi Arabia
Khalid Al-Ghannam,Khobar,Saudi Arabia,Saudi Arabia
Turki Al-Ammar,Riyadh,Saudi Arabia,Saudi Arabia
Sultan Mandash,Jeddah,Saudi Arabia,Saudi Arabia
Firas Al-Buraikan,Riyadh,Saudi Arabia,Saudi Arabia
Saleh Al-Shehri,Wadi Addawasir,Saudi Arabia,Saudi Arabia
Abdullah Al-Hamdan,Riyadh,Saudi Arabia  Morocco,Saudi Arabia
