name,place_of_birth,citizenship,national_team
Angus Gunn,Norwich,Scotland  England,Scotland
Liam Kelly,Glasgow,Scotland,Scotland
Craig Gordon,Edinburgh,Scotland,Scotland
Scott McKenna,Kirriemuir,Scotland,Scotland
Dominic Hyam,Leuchars,Scotland  England,Scotland
Jack Hendry,Glasgow,Scotland,Scotland
John Souttar,Aberdeen,Scotland  Australia,Scotland
Grant Hanley,Dumfries,Scotland,Scotland
Andrew Robertson,Glasgow,Scotland,Scotland
Kieran Tierney,Douglas,Scotland  Isle of Man,Scotland
Aaron Hickey,Glasgow,Scotland,Scotland
Nathan Patterson,Glasgow,Scotland,Scotland
Anthony Ralston,Glasgow,Scotland,Scotland
Billy Gilmour,Irvine,Scotland,Scotland
Scott McTominay,Lancaster,Scotland  England,Scotland
Lewis Ferguson,Hamilton,Scotland,Scotland
John McGinn,Glasgow,Scotland,Scotland
Ryan Christie,Inverness,Scotland,Scotland
Kenny McLean,Rutherglen,Scotland,Scotland
Findlay Curtis,Balfron,Scotland,Scotland
Ben Gannon-Doak,Dalry,Scotland,Scotland
Ché Adams,Leicester,Scotland  England,Scotland
George Hirst,Sheffield,Scotland  England,Scotland
Lawrence Shankland,Glasgow,Scotland,Scotland
Ross Stewart,Irvine,Scotland,Scotland
Lyndon Dykes,Gold Coast,Scotland  Australia,Scotland
