name,place_of_birth,citizenship,national_team
Yehvann Diouf,Montreuil-sous-Bois,Senegal  France,Senegal
Edouard Mendy,Montivilliers,Senegal  Guinea-Bissau,Senegal
Mory Diaw,Poissy,Senegal  France,Senegal
Mamadou Sarr,Martigues,Senegal  France,Senegal
Moussa Niakhaté,Roubaix,Senegal  France,Senegal
Moustapha Mbow,Dakar,Senegal,Senegal
Antoine Mendy,Marseille,Senegal  France,Senegal
Kalidou Koulibaly,Saint-Dié-des-Vosges,Senegal  France,Senegal
Abdoulaye Seck,Mbour,Senegal,Senegal
El Hadji Malick Diouf,Ziguinchor,Senegal,Senegal
Ismail Jakobs,Köln,Senegal  Germany,Senegal
Ilay Camara,Bonheiden,Senegal  Belgium,Senegal
Idrissa Gueye,Dakar,Senegal,Senegal
Pape Gueye,Montreuil,Senegal  France,Senegal
Lamine Camara,Diouloulou,Senegal,Senegal
Pape Matar Sarr,Thiaroye,Senegal,Senegal
Habib Diarra,Guédiawaye,Senegal  France,Senegal
Pathé Ciss,Dakar,Senegal,Senegal
Bara Sapoko Ndiaye,Mékhé,Senegal,Senegal
Krépin Diatta,Dakar,Senegal,Senegal
Assane Diao,Ndongane,Senegal  Spain,Senegal
Sadio Mané,"Bambali, Sédhiou",Senegal,Senegal
Iliman Ndiaye,Rouen,Senegal  France,Senegal
Ismaïla Sarr,Saint-Louis,Senegal,Senegal
Ibrahim Mbaye,Trappes,Senegal  France,Senegal
Nicolas Jackson,Banjul,Senegal  The Gambia,Senegal
Bamba Dieng,Pikine,Senegal,Senegal
Cherif Ndiaye,Dakar,Senegal,Senegal
