name,place_of_birth,citizenship,national_team
Sipho Chaine,"Bloemfontein, Free State",South Africa,South Africa
Ronwen Williams,"Port Elizabeth, Eastern Cape",South Africa,South Africa
Ricardo Goss,"Durban, KwaZulu-Natal",South Africa,South Africa
Brandon Petersen,"Cape Town, Western Cape",South Africa,South Africa
Mbekezeli Mbokazi,"Hluhluwe, KwaZulu-Natal",South Africa,South Africa
Olwethu Makhanya,"Durban, KwaZulu Natal",South Africa,South Africa
Ime Okon,Johannesburg,South Africa  Nigeria,South Africa
Nkosinathi Sibisi,"Durban, KwaZulu-Natal",South Africa,South Africa
Khulumani Ndamane,"Sahlumbe, KwaZulu-Natal",South Africa,South Africa
Samukele Kabini,,South Africa,South Africa
Aubrey Modiba,"Polokwane, Limpopo",South Africa,South Africa
Bradley Cross,"Kempton Park, Gauteng",South Africa  England,South Africa
Khuliso Mudau,"Musina, Limpopo",South Africa,South Africa
Thabiso Monyane,,South Africa,South Africa
Thabang Matuludi,"Dennilton, Limpopo",South Africa,South Africa
Thapelo Morena,"Randfontein, Gauteng",South Africa,South Africa
Kamogelo Sebelebele,,South Africa,South Africa
Teboho Mokoena,"Bethlehem, Free State",South Africa,South Africa
Brooklyn Poggenpoel,,South Africa,South Africa
Thalente Mbatha,"KwaMashu, KwaZulu-Natal",South Africa,South Africa
Jayden Adams,"Cape Town, Western Cape",South Africa,South Africa
Yaya Sithole,"Durban, KwaZulu-Natal",South Africa,South Africa
Lebohang Maboe,"Ratanda, Gauteng",South Africa,South Africa
Patrick Maswanganyi,"Tembisa, Gauteng",South Africa,South Africa
Themba Zwane,"Tembisa, Gauteng",South Africa,South Africa
Oswin Appollis,"Cape Town, Western Cape",South Africa,South Africa
Relebohile Mofokeng,"Sharpeville, Gauteng",South Africa,South Africa
Tshepang Moremi,"Sharpeville,  Gauteng",South Africa,South Africa
Thapelo Maseko,"Sebokeng, Gauteng",South Africa,South Africa
Bongokuhle Hlongwane,Nxamalala,South Africa,South Africa
Lyle Foster,"Soweto, Gauteng",South Africa,South Africa
Iqraam Rayners,"Cape Town, Western Cape",South Africa,South Africa
Evidence Makgopa,"GaMampa, Limpopo",South Africa,South Africa
