name,place_of_birth,citizenship,national_team
Bum-keun Song,"Seongnam, Gyeonggi","Korea, South",South Korea
Hyeon-woo Jo,Seoul,"Korea, South",South Korea
Seung-gyu Kim,"Dong-gu, Ulsan","Korea, South",South Korea
Min-jae Kim,"Tongyeong, Gyeongnam","Korea, South",South Korea
Yu-min Cho,"Dalseo-gu, Daegu","Korea, South",South Korea
Han-beom Lee,Daegu,"Korea, South",South Korea
Gi-hyuk Lee,Seoul,"Korea, South",South Korea
Tae-hyeon Kim,"Gimpo, Gyeonggi","Korea, South",South Korea
Tae-seok Lee,Seoul,"Korea, South",South Korea
Young-woo Seol,"Ulju, Ulsan","Korea, South",South Korea
Moon-hwan Kim,"Hwaseong, Gyeonggi","Korea, South",South Korea
In-beom Hwang,Daejeon,"Korea, South",South Korea
Jin-seob Park,"Jeonju, Jeollabuk","Korea, South",South Korea
Jens Castrop,Düsseldorf,"Korea, South  Germany",South Korea
Seung-ho Paik,Seoul,"Korea, South",South Korea
Jin-gyu Kim,"Pohang, Gyeongbuk","Korea, South",South Korea
Kang-in Lee,"Namdong-gu, Incheon","Korea, South",South Korea
Jun-ho Bae,Daegu,"Korea, South",South Korea
Jae-sung Lee,Ulsan,"Korea, South",South Korea
Dong-gyeong Lee,Daegu,"Korea, South",South Korea
Heung-min Son,"Chuncheon, Gangwon","Korea, South",South Korea
Ji-sung Eom,"Gimje, Jeonbuk","Korea, South",South Korea
Hyun-jun Yang,"Yeongdo-gu, Busan","Korea, South",South Korea
Hyeon-gyu Oh,"Namyangju, Gyeonggi","Korea, South",South Korea
Hee-chan Hwang,"Chuncheon, Gangwon","Korea, South",South Korea
Gue-sung Cho,"Ansan, Gyeonggi","Korea, South",South Korea
