name,place_of_birth,citizenship,national_team
Joan García,Sallent de Llobregat,Spain,Spain
David Raya,Barcelona,Spain,Spain
Unai Simón,Vitoria-Gasteiz,Spain,Spain
Álex Remiro,Cascante,Spain,Spain
Pau Cubarsí,Estanyol,Spain,Spain
Dean Huijsen,Amsterdam,Spain  Netherlands,Spain
Cristhian Mosquera,Alicante,Spain  Colombia,Spain
Aymeric Laporte,Agen,Spain  France,Spain
Marc Cucurella,Alella,Spain,Spain
Alejandro Grimaldo,Valencia,Spain,Spain
Pedro Porro,Don Benito,Spain,Spain
Marcos Llorente,Madrid,Spain,Spain
Martín Zubimendi,Donostia-San Sebastián,Spain,Spain
Rodri,Madrid,Spain,Spain
Pedri,Tegueste,Spain,Spain
Carlos Soler,Valencia,Spain,Spain
Pablo Fornals,Castelló de la Plana,Spain,Spain
Fermín López,El Campillo,Spain,Spain
Dani Olmo,Terrassa,Spain,Spain
Álex Baena,Roquetas de Mar,Spain,Spain
Víctor Muñoz,Barcelona,Spain,Spain
Ander Barrenetxea,Donostia-San Sebastián,Spain,Spain
Lamine Yamal,Esplugues de Llobregat,Spain,Spain
Yéremy Pino,Las Palmas de Gran Canaria,Spain,Spain
Ferran Torres,Foios,Spain,Spain
Mikel Oyarzabal,Eibar,Spain,Spain
Borja Iglesias,Santiago de Compostela,Spain,Spain
