name,place_of_birth,citizenship,national_team
Viktor Johansson,Stockholm,Sweden,Sweden
Jacob Widell Zetterström,Stockholm,Sweden,Sweden
Kristoffer Nordfeldt,Stockholm,Sweden,Sweden
Isak Hien,Kista,Sweden  Ghana,Sweden
Victor Lindelöf,Västerås,Sweden,Sweden
Hjalmar Ekdal,Stockholm,Sweden,Sweden
Gustaf Lagerbielke,Stockholm,Sweden,Sweden
Carl Starfelt,Stockholm,Sweden,Sweden
Eric Smith,Halmstad,Sweden,Sweden
Daniel Svensson,Stockholm,Sweden,Sweden
Gabriel Gudmundsson,Malmö,Sweden,Sweden
Ken Sema,Norrköping,Sweden  DR Congo,Sweden
Emil Holm,Göteborg,Sweden,Sweden
Jesper Karlström,Stockholm,Sweden,Sweden
Lucas Bergvall,Stockholm,Sweden,Sweden
Yasin Ayari,Solna,Sweden  Tunisia,Sweden
Mattias Svanberg,Malmö,Sweden,Sweden
Besfort Zeneli,Säter,Sweden  Kosovo,Sweden
Elliot Stroud,Uddevalla,Sweden  England,Sweden
Taha Ali,Spånga,Sweden  Somalia,Sweden
Anthony Elanga,Hyllie,Sweden  Cameroon,Sweden
Benjamin Nygren,Göteborg,Sweden,Sweden
Alexander Bernhardsson,Göteborg,Sweden,Sweden
Alexander Isak,Solna,Sweden  Eritrea,Sweden
Viktor Gyökeres,Stockholm,Sweden  Hungary,Sweden
Gustaf Nilsson,Falkenberg,Sweden,Sweden
