name,place_of_birth,citizenship,national_team
Gregor Kobel,Zürich,Switzerland,Switzerland
Marvin Keller,London,Switzerland,Switzerland
Yvon Mvogo,Yaoundé,Switzerland  Cameroon,Switzerland
Manuel Akanji,Wiesendangen,Switzerland  Nigeria,Switzerland
Luca Jaquez,Luzern,Switzerland  Dominican Republic,Switzerland
Nico Elvedi,Zürich,Switzerland,Switzerland
Aurèle Amenda,Biel/Bienne,Switzerland  Cameroon,Switzerland
Eray Cömert,Rheinfelden,Switzerland  Türkiye,Switzerland
Miro Muheim,Zürich,Switzerland,Switzerland
Ricardo Rodríguez,Zürich,Switzerland  Chile,Switzerland
Silvan Widmer,Aarau,Switzerland,Switzerland
Ardon Jashari,Cham,Switzerland  North Macedonia,Switzerland
Denis Zakaria,Genf,Switzerland  DR Congo,Switzerland
Granit Xhaka,Basel,Switzerland,Switzerland
Johan Manzambi,Genève,Switzerland,Switzerland
Djibril Sow,Zürich,Switzerland  Senegal,Switzerland
Michel Aebischer,Fribourg,Switzerland,Switzerland
Remo Freuler,Ennenda,Switzerland,Switzerland
Fabian Rieder,Bern,Switzerland,Switzerland
Christian Fassnacht,Zürich,Switzerland,Switzerland
Noah Okafor,Binningen,Switzerland  Nigeria,Switzerland
Rubén Vargas,Adligenswil,Switzerland  Dominican Republic,Switzerland
Dan Ndoye,Nyon,Switzerland  Senegal,Switzerland
Breel Embolo,Yaoundé,Switzerland  Cameroon,Switzerland
Zeki Amdouni,Genève,Switzerland  Tunisia,Switzerland
Cedric Itten,Basel,Switzerland,Switzerland
