name,id
England,3299
France,3377
Spain,3375
Portugal,3300
Germany,3262
Brazil,3439
Netherlands,3379
Argentina,3437
Belgium,3382
Turkiye,3381
Ivory Coast,3591
Norway,3440
Senegal,3499
Morocco,3575
Sweden,3557
Ecuador,5750
Uruguay,3449
Croatia,3556
United States,3505
Switzerland,3384
Colombia,3816
Ghana,3441
Japan,3435
Austria,3383
Algeria,3614
Scotland,3380
Czechia,3445
Democratic Republic of Congo,3854
South Korea,3589
Paraguay,3581
Bosnia and Herzegovina,3446
Canada,3510
Egypt,3672
Mexico,6303
Uzbekistan,3563
Tunisia,3670
Haiti,14161
Cape Verde,4311
Australia,3433
South Africa,3806
Iran,3582
Panama,3577
New Zealand,9171
Curacao,32364
Saudi Arabia,3807
Iraq,3560
Qatar,14162
Jordan,15737
