name,place_of_birth,citizenship,national_team
Aymen Dahmen,Sfax,Tunisia,Tunisia
Abdelmouhib Chamakh,,Tunisia,Tunisia
Sabri Ben Hessen,,Tunisia,Tunisia
Montassar Talbi,Paris,Tunisia  France,Tunisia
Adem Arous,Medina,Tunisia,Tunisia
Dylan Bronn,Cannes,Tunisia  France,Tunisia
Omar Rekik,Helmond,Tunisia  Netherlands,Tunisia
Raed Chikhaoui,,Tunisia,Tunisia
Ali Abdi,Sfax,Tunisia,Tunisia
Mohamed Amine Ben Hamida,Tunis,Tunisia,Tunisia
Yan Valery,Champigny-sur-Marne,Tunisia  France,Tunisia
Moutaz Neffati,Norrköping,Tunisia  Sweden,Tunisia
Ellyes Skhiri,Lunel,Tunisia  France,Tunisia
Mohamed Belhadj Mahmoud,Sousse,Tunisia,Tunisia
Rani Khedira,Stuttgart,Tunisia  Germany,Tunisia
Anis Ben Slimane,Kopenhagen,Tunisia  Denmark,Tunisia
Hannibal,Ivry-sur-Seine,Tunisia  France,Tunisia
Sebastian Tounekti,Tromsø,Tunisia  Norway,Tunisia
Ismaël Gharbi,Paris,Tunisia  Spain,Tunisia
Elias Achouri,Saint-Denis de La Réunion,Tunisia  France,Tunisia
Elias Saad,Hamburg,Tunisia  Germany,Tunisia
Mortadha Ben Ouanes,Sousse,Tunisia,Tunisia
Khalil Ayari,Tunis,Tunisia,Tunisia
Firas Chaouat,Sfax,Tunisia,Tunisia
Hazem Mastouri,Tunis,Tunisia,Tunisia
Rayan Elloumi,"St. Albert, Alberta",Tunisia  Canada,Tunisia
