name,place_of_birth,citizenship,national_team
Uğurcan Çakır,Antalya,Türkiye,Turkiye
Altay Bayındır,Bursa,Türkiye,Turkiye
Ersin Destanoğlu,İstanbul,Türkiye,Turkiye
Muhammed Şengezer,Bursa,Türkiye,Turkiye
Mert Günok,Karabük,Türkiye,Turkiye
Yusuf Akçiçek,İstanbul,Türkiye,Turkiye
Merih Demiral,Kocaeli,Türkiye,Turkiye
Ozan Kabak,Ankara,Türkiye,Turkiye
Abdülkerim Bardakcı,Konya,Türkiye,Turkiye
Ahmetcan Kaplan,Trabzon,Türkiye,Turkiye
Çağlar Söyüncü,İzmir,Türkiye,Turkiye
Samet Akaydin,Trabzon,Türkiye,Turkiye
Ferdi Kadıoğlu,Arnhem,Türkiye  Netherlands,Turkiye
Eren Elmalı,İstanbul,Türkiye,Turkiye
Mustafa Eskihellaç,Trabzon,Türkiye,Turkiye
Zeki Çelik,Bursa,Türkiye,Turkiye
Mert Müldür,Wien,Türkiye  Austria,Turkiye
Hakan Çalhanoğlu,Mannheim,Türkiye  Germany,Turkiye
İsmail Yüksek,Bursa,Türkiye,Turkiye
Atakan Karazor,Essen,Türkiye  Germany,Turkiye
Demir Ege Tıknaz,İstanbul,Türkiye,Turkiye
Salih Özcan,Köln,Türkiye  Germany,Turkiye
Kaan Ayhan,Gelsenkirchen,Türkiye  Germany,Turkiye
Orkun Kökçü,Haarlem,Türkiye  Netherlands,Turkiye
Arda Güler,Ankara,Türkiye,Turkiye
Can Uzun,Regensburg,Türkiye  Germany,Turkiye
Kenan Yıldız,Regensburg,Türkiye  Germany,Turkiye
Barış Alper Yılmaz,Rize,Türkiye,Turkiye
Kerem Aktürkoğlu,Kocaeli,Türkiye,Turkiye
Oğuz Aydın,Den Haag,Türkiye  Netherlands,Turkiye
Aral Şimşir,Køge,Türkiye  Denmark,Turkiye
Yunus Akgün,İstanbul,Türkiye,Turkiye
Yusuf Sarı,Martigues,Türkiye  France,Turkiye
İrfan Can Kahveci,Çorum,Türkiye,Turkiye
Deniz Gül,Stockholm,Türkiye  Sweden,Turkiye
