name,place_of_birth,citizenship,national_team
Patrick Schulte,"Saint Charles, Missouri",United States,United States
Matt Turner,"Park Ridge, New Jersey",United States  Lithuania,United States
Chris Brady,"Naperville, Illinois",United States  Scotland,United States
Matt Freese,"Wayne, Pennsylvania",United States  Germany,United States
Chris Richards,"Birmingham, Alabama",United States,United States
Auston Trusty,"Media, Pennsylvania",United States,United States
Mark McKenzie,"New York City, New York",United States  Jamaica,United States
Miles Robinson,"Arlington, Massachusetts",United States,United States
Tim Ream,"St. Louis, Missouri",United States,United States
Antonee Robinson,Milton Keynes,United States  England,United States
Joe Scally,"Lake Grove, New York",United States,United States
Alex Freeman,"Baltimore, Maryland",United States,United States
Tanner Tessmann,"Birmingham, Alabama",United States,United States
Weston McKennie,"Little Elm, Texas",United States,United States
Johnny Cardoso,"Denville, New Jersey",United States  Italy,United States
Aidan Morris,"Fort Lauderdale, Florida",United States  Canada,United States
Sebastian Berhalter,London,United States  Ireland,United States
Cristian Roldán,"Artesia, California",United States  El Salvador,United States
Timothy Weah,"New York City, New York",United States  France,United States
Malik Tillman,Nürnberg,United States  Germany,United States
Brenden Aaronson,"Medford, New Jersey",United States,United States
Giovanni Reyna,Sunderland,United States  Portugal,United States
Max Arfsten,"Fresno, California",United States,United States
Christian Pulisic,"Hershey, Pennsylvania",United States  Croatia,United States
Folarin Balogun,"New York City, New York",United States  England,United States
Ricardo Pepi,"El Paso, Texas",United States  Mexico,United States
Patrick Agyemang,"East Hartford, Connecticut",United States  Ghana,United States
