name,place_of_birth,citizenship,national_team
Sergio Rochet,Nueva Palmira,Uruguay  Italy,Uruguay
Santiago Mele,Montevideo,Uruguay  Italy,Uruguay
Fernando Muslera,Buenos Aires,Uruguay  Italy,Uruguay
Ronald Araujo,Rivera,Uruguay  Spain,Uruguay
José María Giménez,Toledo,Uruguay  Spain,Uruguay
Santiago Bueno,Montevideo,Uruguay  Italy,Uruguay
Sebastián Cáceres,Montevideo,Uruguay,Uruguay
Maxi Araújo,Montevideo,Uruguay,Uruguay
Mathías Olivera,Montevideo,Uruguay  Spain,Uruguay
Joaquín Piquerez,Montevideo,Uruguay  Italy,Uruguay
Juan Manuel Sanabria,Florida,Uruguay  Spain,Uruguay
Matías Viña,Empalme Olmos,Uruguay  Italy,Uruguay
José Luis Rodríguez,Canelones,Uruguay,Uruguay
Guillermo Varela,Montevideo,Uruguay  Italy,Uruguay
Manuel Ugarte,Montevideo,Uruguay,Uruguay
Emiliano Martínez,Punta del Este,Uruguay  Italy,Uruguay
Nicolás Fonseca,Napoli,Uruguay  Italy,Uruguay
Federico Valverde,Montevideo,Uruguay  Spain,Uruguay
Nicolás de la Cruz,Montevideo,Uruguay  Argentina,Uruguay
Giorgian de Arrascaeta,Nuevo Berlín,Uruguay  Italy,Uruguay
Brian Rodríguez,Tranqueras,Uruguay,Uruguay
Agustín Canobbio,Montevideo,Uruguay  Italy,Uruguay
Facundo Torres,Montevideo,Uruguay,Uruguay
Facundo Pellistri,Montevideo,Uruguay  Spain,Uruguay
Darwin Núñez,Artigas,Uruguay,Uruguay
Federico Viñas,Montevideo,Uruguay,Uruguay
Agustín Álvarez,San Bautista,Uruguay,Uruguay
Rodrigo Aguirre,Montevideo,Uruguay,Uruguay
