name,place_of_birth,citizenship,national_team
Abduvokhid Nematov,Jizzakh,Uzbekistan,Uzbekistan
Botirali Ergashev,"Pap, Namangan Region",Uzbekistan,Uzbekistan
Utkir Yusupov,Sayram,Uzbekistan,Uzbekistan
Vladimir Nazarov,,Uzbekistan,Uzbekistan
Abdukodir Khusanov,Tashkent,Uzbekistan,Uzbekistan
Rustam Ashurmatov,Kokand,Uzbekistan,Uzbekistan
Mukhammadkodir Khamraliev,Fergana,Uzbekistan,Uzbekistan
Mukhammadrasul Abdumazhidov,,Uzbekistan,Uzbekistan
Jakhongir Urozov,Viloyat Jizzax,Uzbekistan,Uzbekistan
Avazbek Ulmasaliev,Fargona,Uzbekistan,Uzbekistan
Umar Eshmurodov,Koson,Uzbekistan,Uzbekistan
Diyor Ortikboev,,Uzbekistan,Uzbekistan
Sherzod Nasrullaev,Koson,Uzbekistan,Uzbekistan
Ibrokhimkhalil Yuldoshev,Yangyier,Uzbekistan,Uzbekistan
Farrukh Sayfiev,Samarkand,Uzbekistan,Uzbekistan
Khozhiakbar Alizhonov,Tashkent,Uzbekistan,Uzbekistan
Bekhruz Karimov,,Uzbekistan,Uzbekistan
Odildzhon Khamrobekov,Namangan,Uzbekistan,Uzbekistan
Umarali Rakhmonaliev,,Uzbekistan,Uzbekistan
Abdulla Abdullaev,Kurgantepa,Uzbekistan,Uzbekistan
Aziz Ganiev,Jizzakh,Uzbekistan,Uzbekistan
Otabek Shukurov,Chirakchi,Uzbekistan,Uzbekistan
Akmal Mozgovoy,Qarshi,Uzbekistan,Uzbekistan
Sherzod Esanov,Navoi,Uzbekistan,Uzbekistan
Jamshid Iskanderov,Urganch,Uzbekistan,Uzbekistan
Jasurbek Jaloliddinov,Navoi,Uzbekistan,Uzbekistan
Kuvondik Ruziev,Jarkurgan,Uzbekistan,Uzbekistan
Oston Urunov,Navoiy,Uzbekistan,Uzbekistan
Jaloliddin Masharipov,Urganch,Uzbekistan,Uzbekistan
Ruslanbek Jiyanov,Tashkent,Uzbekistan,Uzbekistan
Sardorbek Bakhromov,,Uzbekistan,Uzbekistan
Abbosbek Fayzullaev,Sirdaryo,Uzbekistan,Uzbekistan
Dostonbek Khamdamov,"Bekabad, Tashkent Region",Uzbekistan,Uzbekistan
Nodir Abdurazzakov,,Uzbekistan,Uzbekistan
Alisher Odilov,,Uzbekistan,Uzbekistan
Eldor Shomurodov,"Jarkurgan, Surxondaryo Region",Uzbekistan,Uzbekistan
Igor Sergeev,Tashkent,Uzbekistan  Russia,Uzbekistan
Khusayin Norchaev,,Uzbekistan,Uzbekistan
Sherzod Temirov,Guzar,Uzbekistan,Uzbekistan
Azizbek Amanov,Zarafshan,Uzbekistan,Uzbekistan
